MUTCD Code,DESCRIPTION / DISPLAY NAME,SIZE,L,W,SQ. FT.,MANUFACTURING PROCESS,SIGN SHAPE,SIGN TYPE,SHEETING,ETC SKU FOR WEBSITE,ETC SKU,TYPE,VENDOR,U/M,Unnamed: 15,Unnamed: 16,Unnamed: 17,SHEETING ABBREVIATED,Image URL,Image Source
D10-1,SINGLE-DIGIT REFERENCE LOCATION SIGN,"12""x24""",  12.00 ,  24.00 ,  2.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-1.svg,SVG
D10-1A,SINGLE-DIGIT INTERMEDIATE REFERENCE LOCATION SIGN,"12""x36""",  12.00 ,  36.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-1a.svg,SVG
D10-2,DOUBLE-DIGIT REFERENCE LOCATION SIGN,"12""x36""",  12.00 ,  36.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-2.svg,SVG
D10-2A,DOUBLE-DIGIT INTERMEDIATE REFERENCE LOCATION SIGN,"12""x48""",  12.00 ,  48.00 ,  4.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-2a.svg,SVG
D10-3,TRIPLE-DIGIT REFERENCE LOCATION SIGN,"12""x48""",  12.00 ,  48.00 ,  4.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-3.svg,SVG
D10-3A,TRIPLE-DIGIT INTERMEDIATE REFERENCE LOCATION SIGN,"12""x60""",  12.00 ,  60.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-3a.svg,SVG
D10-5,ENHANCED REFERENCE LOCATION WITH DECIMAL SIGN,"18""x60""",  18.00 ,  60.00 ,  7.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d10-5.svg,SVG
D1-1,SINGLE-LINE DESTINATION SIGN,"48""x8""",  48.00 ,  8.00 ,  2.67 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1.svg,SVG
D1-1,SINGLE-LINE DESTINATION SIGN,"72""x12""",  72.00 ,  12.00 ,  6.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1.svg,SVG
D11-1,BIKE ROUTE SIGN,"24""x18""",  24.00 ,  18.00 ,  3.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d11-1.svg,SVG
D11-1,BIKE ROUTE SIGN,"30""x24""",  30.00 ,  24.00 ,  5.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d11-1.svg,SVG
D1-1A,SINGLE-LINE DESTINATION MILEAGE SIGN,"48""x8""",  48.00 ,  8.00 ,  2.67 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1a.svg,SVG
D1-1A,SINGLE-LINE DESTINATION MILEAGE SIGN,"72""x12""",  72.00 ,  12.00 ,  6.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-1a.svg,SVG
D1-2,DOUBLE-LINE DESTINATION SIGN,"48""x16""",  48.00 ,  16.00 ,  5.33 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-2.svg,SVG
D1-2,DOUBLE-LINE DESTINATION SIGN,"72""x24""",  72.00 ,  24.00 ,  12.00 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d1-2.svg,SVG
D12-2,CAR POOL INFORMATION SIGN,"36""x30""",  36.00 ,  30.00 ,  7.50 ,FINISHED,RECTANGLE,DESTINATION AND DISTANCE,DIAMOND GRADE - TYPE XI,,,PRODUCT,GRIMCO,EA,,,,DGXI,https://etc-images.netlify.app/images/SVG/d12-2.svg,SVG
